City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
468,468,nagqu,31.5,92.0,3.62,96,64,3.52,CN,1696167598
469,469,gorom-gorom,14.4439,-0.2361,39.75,21,35,4.59,BF,1696167598
470,470,paulista,-7.9408,-34.8731,28.92,59,89,4.62,BR,1696167598
471,471,chebba,35.2372,11.115,25.89,56,0,6.26,TN,1696167351
472,472,brookings,44.3114,-96.7984,22.28,76,0,6.17,US,1696167599
473,473,kabwe,-14.4469,28.4464,34.82,18,68,4.98,ZM,1696167599
474,474,nelson bay,-32.7167,152.15,21.03,89,72,8.49,AU,1696167599
475,475,lata,40.1629,-8.3327,32.73,18,14,2.29,PT,1696167600
476,476,lang suan,9.9456,99.0785,25.73,85,14,2.82,TH,1696167600
477,477,mentougou,39.9392,116.0917,13.52,45,100,1.79,CN,1696167600
478,478,xindi,29.8167,113.4667,22.58,71,100,2.91,CN,1696167601
479,479,pio xii,-3.8325,-45.1525,36.09,37,50,2.69,BR,1696167601
480,480,eregli,37.5133,34.0467,22.04,41,100,1.86,TR,1696167601
481,481,al hasaheisa,14.7526,33.2984,38.74,21,7,2.34,SD,1696167601
482,482,harstad,68.799,16.5293,7.66,97,100,14.75,NO,1696167601
483,483,mizdah,31.4451,12.9801,27.03,23,0,3.03,LY,1696167602
484,484,mikhaylovskoye,51.8239,79.7172,8.55,82,4,3.16,RU,1696167602
485,485,manta,-0.95,-80.7333,26.88,65,75,4.63,EC,1696167602
486,486,crane,31.3974,-102.3501,22.75,75,100,8.7,US,1696167602
487,487,delacombe,-37.5891,143.8147,3.96,94,0,1.55,AU,1696167603
488,488,rosignol,6.2833,-57.5333,33.29,44,100,2.83,GY,1696167603
489,489,aitape,-3.1374,142.3475,25.82,89,69,1.16,PG,1696167603
490,490,joao pinheiro,-17.7425,-46.1725,31.36,37,69,3.51,BR,1696167604
491,491,ephrata,40.1798,-76.1788,20.88,78,0,3.09,US,1696167604
492,492,petrovsk-zabaykal'skiy,51.273,108.843,10.16,62,100,1.34,RU,1696167604
493,493,scottburgh,-30.2867,30.7532,18.65,60,85,5.62,ZA,1696167604
494,494,westport,41.1415,-73.3579,18.6,84,0,2.24,US,1696167364
495,495,ylitornio,66.3089,23.6773,10.97,79,69,1.34,FI,1696167605
496,496,vilyuysk,63.7553,121.6247,7.22,82,99,0.89,RU,1696167605
497,497,fontanelas,38.8472,-9.4372,32.67,47,0,3.09,PT,1696167605
498,498,aginskoye,51.1,114.53,8.83,51,16,1.63,RU,1696167605
499,499,corner brook,48.9667,-57.9484,13.09,56,11,3.16,CA,1696167455
500,500,khorugh,37.4897,71.553,17.19,22,98,2.84,TJ,1696167606
501,501,bougouni,11.417,-7.479,36.08,40,87,0.12,ML,1696167606
502,502,hamar,60.7945,11.068,15.09,52,32,0.28,NO,1696167607
503,503,san julian,21.0167,-102.1667,15.74,67,7,2.03,MX,1696167607
504,504,margate,51.3813,1.3862,22.15,73,100,1.79,GB,1696167607
505,505,bel ombre,-4.6167,55.4167,27.91,83,40,4.63,SC,1696167607
506,506,turaif,31.6725,38.6637,30.14,21,0,6.17,SA,1696167404
507,507,la gi,10.6667,107.7833,26.62,87,100,1.5,VN,1696167608
508,508,revelstoke,50.9832,-118.2023,2.01,100,20,1.03,CA,1696167608
509,509,paita,-5.0892,-81.1144,21.47,75,64,5.1,PE,1696167608
510,510,harper,4.375,-7.7169,26.32,85,55,5.05,LR,1696167608
511,511,darwin,-12.4611,130.8418,27.72,78,79,4.47,AU,1696167607
512,512,tazacorte,28.629,-17.9293,27.3,81,20,3.6,ES,1696167609
513,513,iyidere,41.0119,40.3619,21.98,88,100,1.89,TR,1696167609
514,514,joshimath,30.5667,79.5667,18.38,87,25,1.17,IN,1696167609
515,515,gobabis,-22.45,18.9667,33.73,6,0,3.32,,1696167609
516,516,la ronge,55.1001,-105.2842,7.14,70,100,2.06,CA,1696167449
517,517,isla vista,34.4133,-119.861,14.14,83,0,1.54,US,1696167610
518,518,antofagasta,-23.65,-70.4,17.6,65,34,2.91,CL,1696167610
519,519,yudong,29.385,106.5194,23.61,99,97,1.53,CN,1696167610
520,520,ust-tsilma,65.441,52.1498,12.22,97,100,2.67,RU,1696167611
521,521,atraulia,26.3333,82.95,26.89,80,12,0.4,IN,1696167611
522,522,anadarko,35.0726,-98.2437,21.01,55,48,4.44,US,1696167611
523,523,hohhot,40.8106,111.6522,11.16,50,0,2.0,CN,1696167405
524,524,zhezqazghan,47.7833,67.7667,13.32,50,20,3.0,KZ,1696167611
525,525,inderbor,48.55,51.7833,20.23,38,0,3.25,KZ,1696167612
526,526,gargalianoi,37.0667,21.6333,25.34,59,8,3.15,GR,1696167612
527,527,hobyo,5.3505,48.5268,27.08,77,28,9.03,SO,1696167612
528,528,amuntai,-2.4177,115.2494,25.85,56,63,0.41,ID,1696167612
529,529,aoulef,26.9667,1.0833,38.87,13,0,6.43,DZ,1696167613
530,530,siniscola,40.5719,9.6922,26.75,49,0,2.91,IT,1696167613
531,531,angicos,-5.6656,-36.6011,33.69,29,100,5.21,BR,1696167613
532,532,ulladulla,-35.35,150.4667,14.75,68,21,2.8,AU,1696167613
533,533,kachug,53.9606,105.8817,6.7,77,100,4.47,RU,1696167614
534,534,dalmatovo,56.26,62.9362,11.05,77,3,3.37,RU,1696167614
535,535,ola,59.5833,151.2833,8.01,88,100,0.19,RU,1696167614
536,536,remire-montjoly,4.9167,-52.2667,32.02,58,75,4.12,GF,1696167614
537,537,guiratinga,-16.3494,-53.7583,36.34,32,24,1.82,BR,1696167614
538,538,extrema,-22.8547,-46.3183,25.22,70,82,4.88,BR,1696167615
539,539,ojinaga,29.5667,-104.4167,25.79,57,0,3.6,MX,1696167615
540,540,dalandzadgad,43.5708,104.425,15.28,18,100,1.76,MN,1696167615
541,541,saint-raphael,19.4333,-72.2,27.65,76,100,1.4,HT,1696167616
542,542,mejit,10.2753,170.8646,26.86,77,100,3.25,MH,1696167616
543,543,katsuura,35.1333,140.3,24.92,85,98,1.98,JP,1696167426
544,544,prado,-17.3411,-39.2208,26.4,60,17,3.63,BR,1696167616
545,545,hithadhoo,-0.6,73.0833,28.11,71,86,6.2,MV,1696167616
546,546,sao joao da barra,-21.6403,-41.0511,23.05,76,100,8.07,BR,1696167617
547,547,mount isa,-20.7333,139.5,18.87,37,4,0.0,AU,1696167617
548,548,nouna,12.7333,-3.8667,40.87,19,35,4.89,BF,1696167617
549,549,coquimbo,-29.9533,-71.3436,13.85,76,100,1.54,CL,1696167522
550,550,verkhniy mamon,50.1635,40.3832,24.02,28,83,2.75,RU,1696167618
551,551,padangsidempuan,1.3667,99.2667,23.16,99,77,1.17,ID,1696167618
552,552,ebon,4.582,168.6964,28.2,76,12,3.17,MH,1696167618
553,553,pemalang,-6.9,109.3667,25.91,70,27,1.9,ID,1696167619
554,554,mermoz boabab,14.7065,-17.4758,32.31,75,98,2.33,SN,1696167619
555,555,chipinge,-20.1883,32.6236,30.19,29,42,6.02,ZW,1696167619
556,556,charters towers,-20.1,146.2667,17.94,90,8,3.98,AU,1696167619
557,557,sweet home,44.3976,-122.7362,6.08,94,7,1.24,US,1696167620
558,558,cranbrook,49.4999,-115.7688,5.91,87,75,1.03,CA,1696167536
559,559,kingston,17.997,-76.7936,32.53,74,20,1.54,JM,1696167317
560,560,azul,-36.777,-59.8585,15.76,37,0,1.0,AR,1696167620
